"DESCRIPTION_RPA"|"CODE_RPA"
"\P RESERVE S3R 09h-19h"|"R-QB"
"\P RESERVE S3R 09h-21h LUN A SAM"|"R-QD"
"\P RESERVE S3R 09h-21h LUN A SAM  (2 SECTEURS)"|"R-QD-2S"
"\P RESERVE S3R 18h30-23h LUN A VEN"|"R-QF"
"\P RESERVE S3R          (EN TOUT TEMPS)"|"R-QG"
"\P EXCEPTE S3R EN TOUT TEMPS"|"R-QG-2S"
"\P RESERVE S3R 09h30-17h30 LUN A VEN"|"R-QH"
"\P RESERVE S3R 17h30-23h LUN A VEN"|"R-QI"
"\P RESERVE S3R 16h-21h LUN A VEN ET 9h-21h SAM -DIM"|"R-QJ"
"\P RESERVE S3R 16h-23h LUN A VEN"|"R-QL"
"\P RESERVE S3R 9h-23h LUN A SAM"|"R-QM"
"\P RESERVE S3R 16h-23h LUN A SAM"|"R-QN"
"\P RESERVE S3R 15h30-23h LUN A VEN"|"R-QP"
"\P RESERVE S3R 17h-23h LUN A VEN"|"R-QR"
"\P RESERVE S3R 18h-21h LUN A VEN"|"R-QS"
"\P RESERVE S3R 08h-21h"|"R-QV"
"\P RESERVE S3R 09h30-18h"|"R-QW"
"\P RESERVE S3R 18h30-21h LUN A VEN"|"R-QX"
"\P RESERVE S3R 09h30-18h30 LUN A SAM"|"R-QY"
"\P RESERVE S3R 09h-18h"|"R-QZ"
"\P RESERVE S3R 09h30-23h"|"R-RA"
"\P RESERVE S3R 09h30-23h     (2 SECTEURS)"|"R-RA-2S"
"\P RESERVE S3R 17h30-23h"|"R-RB"
"\P RESERVE S3R 17h30-23h     (2 SECTEURS)"|"R-RB-2S"
"\P RESERVE S3R 18h30-23h"|"R-RC"
"\P EXCEPTE S3R 18h30-23h (2 SECTEURS)"|"R-RC-2S"
"\P RESERVE S3R 18h-23h LUN.AU VEN., 9h-23h SAM.ET DIM."|"R-RE"
"\P RESERVE S3R 09h-20h"|"R-RF"
"\P EXCEPTE S3R 09h-20h     (2 SECTEURS)"|"R-RF-2S"
"\P RESERVE S3R 16h-20h"|"R-RG"
"\P RESERVE S3R 09h-19h LUN A SAM"|"R-RI"
"\P RESERVE S3R 09h-19h LUN A SAM  (2 SECTEURS)"|"R-RI-2S"
"\P RESERVE S3R 09h30-20h LUN A SAM"|"R-RJ"
"\P RESERVE S3R 16h-21h"|"R-RK"
"\P RESERVE S3R 16h-23h"|"R-RL"
"\P RESERVE S3R 16h-23h     (2 SECTEURS)"|"R-RL-2S"
"\P RESERVE S3R 09h-18h LUN A SAM"|"R-RN"
"\P RESERVE S3R 15h-21h LUN A VEN"|"R-RO"
"\P RESERVE S3R 16h-23h LUN A VEN ET 9h-23h SAM ET DIM"|"R-RP"
"\P RESERVE S3R 09h30-23h LUN A VEN"|"R-RV"
"\P RESERVE S3R 17h-21h LUN A VEN"|"R-RW"
"\P RESERVE S3R 09h-18h LUN A VEN"|"R-RX"
"\P EXCEPTE S3R 9h-23h LUN A VEN"|"R-RY"
"\P RESERVE S3R 09h-23h LUN A VEN  (2 SECTEURS)"|"R-RY-2S"
"\P RESERVE S3R 16h-21h LUN A VEN"|"R-RZ"
"\P RESERVE S3R 16h-21h LUN A SAM"|"R-SC"
"\P RESERVE S3R 16h-18h LUN A VEN + 09h-23h SAM ET DIM"|"R-SD"
"\P RESERVE S3R 15h30-23h"|"R-SE"
"ANNULE  -  REMPLACE PAR R-RA-2S"|"R-SG"
"\P RESERVE SERVICE D'INCENDIE"|"R-SI"
"\ EXCEPTE S3R 14h-20h LUN A SAM"|"R-SO"
"\P RESERVE S3R 09h30-18h LUN A VEN"|"R-SP"
"/P RESERVE S3R 9h30 A 21h LUNDI A SAMEDI"|"R-SQ"
"/P RESERVE S3R 07h-23h"|"R-SS"
"/P RESERVE S3R 12h-20h LUN A SAM"|"R-ST"
"\P EXCEPTE S3R 6h-18h LUNDI A VENDREDI"|"R-SU"
"/P EXCEPTE S3R 15h-21h LUN A SAM"|"R-SV"
"\P EXCEPTE S3R 09h30-23h LUN A SAM"|"R-SW"
"\P EXCEPTE S3R 17h-23h LUN A VEN, 9h-23h SAM ET DIM"|"R-SX"
"\P EXCEPTE S3R 08h-17h LUN A VEN"|"R-SY"
"\P EXCEPTE S3R 09h-17h  JEUDI"|"R-SZ"
"\P RESERVE TAXIS"|"R-TA"
"\P RESERVE TAXIS 18h-07h"|"R-TB"
"\P RESERVE TAXIS 18h30-07h"|"R-TC"
"\P RESERVE HANDICAPES (PICTO)"|"R-TD"
"\P RESERVE TAXIS 08h-18h"|"R-TF"
"\P RESERVE TAXIS 21h-08h"|"R-TH"
"\P RESERVE TAXIS 09h30-15h30 LUN A VEN"|"R-TJ"
"\P RESERVE TAXIS 08h-19h"|"R-TK"
"\P RESERVE DEBARCADERE AUTOBUS TOURS DE VILLE"|"R-TV"
"\P RESERVE AUTOBUS TOURS DE VILLE"|"R-TW"
"\P RESERVE VEHICULES DE LA VILLE"|"R-VA"
"\P RESERVE VISITEURS ET EMPLOYES DE LA VILLE"|"R-VE"
"\P EXCEPTE VEHICULE ELECTRIQUE EN RECHARGE"|"R-VF"
"\P RESERVE BICYCLETTE"|"R-VL"
"\P RESERVE VEHICULES MILITAIRES"|"R-VM"
"\P RESERVE VEHICULES DU SERVICE DE LA POLICE"|"R-VP"
"\P EXCEPTE VISITEURS POSTE DE POLICE"|"R-VQ"
"\P RESERVE CAMPER TENTE ROULOTTE"|"R-VR"
"\P EXCEPTE VEHICULES D'URGENCE"|"R-VU"
"\P EXCEPTE S3R 16h-22h"|"R-WC"
"\P EXCEPTE S3R 18h-21h LUN A VEN  ET  17h-21h SAM ET DIM"|"R-WE"
"\P EXCEPTE S3R 15h-23h LUN A VEN"|"R-WF"
"\P EXCEPTE S3R 10h-21h LUN A SAM"|"R-WG"
"\P EXCEPTE S3R 18h-21h LUN A SAM"|"R-WH"
"\P EXCEPTE S3R 15h-23h LUN A SAM"|"R-WJ"
"\P EXCEPTE S3R 18 h 30 A 21 h LUN A SAM"|"R-WK"
"\P EXCEPTE S3R 9h-17h VENDREDI"|"R-WP"
"\P EXCEPTE S3R 09h30-18h30 LUN A VEN"|"R-WQ"
"\P EXCEPTE S3R 09h30-18h30"|"R-WR"
"\P EXCEPTE S3R 15h-23h LUN A VEN et 9h-23h SAM ET DIM"|"R-WS"
"/P S3R 08h30-11h LUN A VEN"|"R-WT"
"\P EXCEPTE S3R 11h-18h LUN A VEN"|"R-WU"
"\P EXCEPTE S3R 16h-22h LUN A VEN ET 09h-22h SAM ET DIM"|"R-WV"
"\P EXCEPTE S3R 17H-09H "|"R-WW"
"\P EXCEPTE S3R 18h30-21h LUN A VEN,  09h-21h SAM et DIM"|"R-WX"
"\P EXCEPTE S3R 18h30-21h"|"R-WY"
"INTERDICTION DE STAT. S3R DE 15H - 3H"|"R-WZ"
"INTERDICTION DE STAT. S3R (GR. R) 17H - 3H"|"R-XA"
"INTERDICTION DE STAT. S3R (GR. R) 18H - 3H"|"R-XB"
"INTERDICTION DE STAT. S3R (GR. R) 9H - 3H"|"R-XD"
"STAT. INT. S3R DE 9H - 23H (1 AVRIL AU 30 SEPT)"|"R-XF"
"\P EXCEPTE S3R 16h-3h ( 1 AVRIL AU 30 SEPT )"|"R-XG"
"\P EXCEPTE S3R 15h-21h LUN. à VEN. et 9h-21h SAM.DIM."|"R-XH"
"\P EXCEPTE S3R 16h-3h"|"R-XI"
"\P EXCEPTE S3R 09h-17h MAR. MER. VEN."|"R-XJ"
"\P EXCEPTE S3R 09h-17h MAR. MER. JEU."|"R-XK"
"\P EXCEPTE S3R 09h-17h MAR. MER. JEU.VEN."|"R-XN"
"\P EXCEPTE S3R 09h-17h LUNDI"|"R-XO"
"\P EXCEPTE S3R 19h-23h LUN AU VEN ET 09h-23h SAM ET DIM"|"R-XP"
"\P EXCEPTE S3R 09h-17h"|"R-XQ"
"\P EXCEPTE S3R 16h-09h (2 SECTEURS)"|"R-XR-2S"
"\P EXCEPTE S3R 18h-3h LUN A VEN ET 9h-3h SAM ET DIM"|"R-XS"
"ARRET"|"RA-A"
"ARRET PANNEAU VOIE CYCL."|"RA-A-0"
"ANNULE"|"RA-A-10"
"ARRET (900 x 900)"|"RA-A-1O"
"ARRET"|"RA-A-3"
"ARRET (GRADE DIAMANT)"|"RA-A-4"
"CEDEZ"|"RA-B"
"CEDEZ PANNEAU VOIE CYCL."|"RA-B-0"
"CEDEZ (GIRATOIRE)"|"RA-BA"
"CEDEZ AUX CYCLISTE"|"RA-BC"
"LIGNE D'ARRET"|"RA-C-01"
"LIGNE D'ARRET"|"RA-C-02"
"LIGNE D'ARRET"|"RA-C-03"
"ATENDEZ LE FEU VERT"|"RA-C-04"
"ATTENDRE LA FLECHE..."|"RA-C-08"
"ATTENDRE LA FLECHE..."|"RA-C-09"
"CYCLISTES UTILISEZ LE FEU PIETON"|"RA-C-11"
"ANNULE (BOUTON D'APPEL) VOIR SERIE PE-AI...A...PE-AQ"|"RA-C-13"
"ANNULE (VELOS ET PIETONS, APPUYER SUR LE BOUTON) VOIR SERIE PE-AI...A...PE-AQ"|"RA-C-14"
"LIGNE D'ARRET POUR VOIE FERREE"|"RA-C-15"
"TOUTES DIRECTIONS"|"RA-D"
"ACCES INTERDIT"|"RA-E"
"ACCES INTERDIT"|"RA-E-3"
"RECULEZ"|"RA-F"
"RECULEZ"|"RA-G"
"FEU PRIORITAIRE POUR BUS ET TAXIS"|"RA-HA"
"CONFUGURATION DE L'INTERSECTION (A UTILISER SOUS RA-A DANS CAS PARTICULIERS SEULEMENT)"|"RA-HD-C"
"CONFIGURATION DE L'INTERSECTION (A INSTALLER SOUS RA-A-3 DANS CAS PARTICULIERS SEULEMENT)"|"RA-HD-C-10"
"CONFIGURATION DE L'INTERSECTION (A UTILISER SOUS RA-A  DANS CAS PARTICULIERS SEULEMENT)"|"RA-HV"
"CONFIGURATION DE L'INTERSECTION (A UTILISER SOUS RA-A-10 DANS CAS PARTICULIERS SEULEMENT)"|"RA-HV-10"
"VOIE DE GAUCHE FERMEE EXCEPTE 15h30-18h30 LUN A VEN"|"RA-I"
"PANONCEAU ARRETS TOUTES LES APPROCHES"|"RA-K"
"PANONCEAU ARRETS TOUTES LES APPROCHES"|"RA-KA"
"ARRETS TOUTES LES APPROCHES"|"RA-KB"
"ARRETS TOUTES LES APPROCHES"|"RA-KC"
"ARRETS TOUTES LES APPROCHES"|"RA-KD"
"ARRETS TOUTES LES APPROCHES"|"RA-KE"
"ARRETS TOUTES LES APPROCHES"|"RA-KF"
"ARRETS TOUTES LES APPROCHES"|"RA-KG"
"ARRETS TOUTES LES APPROCHES"|"RA-KH"
"ARRETS TOUTES LES APPROCHES"|"RA-KI"
"ARRETS TOUTES LES APPROCHES"|"RA-KJ"
"ARRETS TOUTES LES APPROCHES"|"RA-KK"
"ARRETS TOUTES LES APPROCHES"|"RA-KL"
"ARRETS TOUTES LES APPROCHES"|"RA-KM"
"ARRETS TOUTES LES APPROCHES"|"RA-KN"
"ARRETS TOUTES LES APPROCHES"|"RA-KO"
"OBLIGATION DE MONTER DANS LE PREMIER TAXI"|"RA-Z"
"\P EXCEPTE 09h-16h MER. VEN."|"RB-QA"
"MAXIMUM 30"|"RC-A"
"PANNEAU ANNULE"|"RC-A-01"
"MAXIMUM 30 07h-17h LUN A VEN SEPT A JUIN"|"RC-A-E"
"PRE-SIGNA MAX. 30"|"RC-A-P"
"MAXIMUM 30 SECTEUR"|"RC-A-S"
"MAXIMUM 50"|"RC-B"
"PANNEAU ANNULE"|"RC-B-01"
"MAXIMUM 50"|"RC-B-10"
"PRE-SIGNAL MAX. 50"|"RC-B-P"
"MAXIMUM 70"|"RC-C"
"MAXIMUM 60"|"RC-E"
"MAXIMUM 20"|"RC-F"
"MAXIMUM 20"|"RC-F-0"
"MAXIMUM 40"|"RC-G"
"MAXIMUM 40 SECTEUR"|"RC-G-S"
"PANNEAU ANNULE"|"RC-R-2"
"RADAR"|"RC-T-1"
"RADAR"|"RC-T-2"
"INDICATION ""INTERSECTION AVEC CHAUSSEE SEPAREE"""|"RD-A"
"""ARRET INTERDIT DANS CETTE ZONE"" + SYMBOLE MARQUAGE"|"RD-C"
"VOIE VIRAGE A GAUCHE ET CONTOURNEMENT PAR LA DROITE"|"RD-D"
"EPANDAGE DE SEL INTERDIT"|"RD-E"
"CIRCULATION INTERDITE SUR ACCOTEMENT"|"RD-F"
"\P RESERVE HANDICAPES DE 08h00 A 18h00, LUNDI AU SAMEDI"|"RD-JA"
"\P RESERVE HANDICAPES DE 09h00 A 21h00, LUNDI AU SAMEDI"|"RD-JB"
"\P RESERVE HANDICAPES DE 08h00 A 18h00"|"RD-JC"
"\P RESERVE HANDICAPES DE 09h00 A 21h00"|"RD-JD"
"\P  RESERVE HANDICAPE DE 09h-17h MERCREDI ET SAMEDI"|"RD-JF"
"\P RESERVE HANDICAPE 16h-24h LUN A VEN"|"RD-JG"
"STAT.HANDICAPEES 7H-23H LUN A VEN"|"RD-JH"
"STAT.HANDICAPEES 7H - 20H"|"RD-JI"
"\P RESERVE HANDICAPES DE 10h00 A 16h00, LUN. SAM."|"RD-JJ"
"\P RESERVE HANDICAPES 12h - 19h"|"RD-JK"
"\P RESERVE HANDICAPES  8h - 16h LUN A VEN"|"RD-JL"
"\P RESERVE HANDICAPES  9h30 - 16h"|"RD-JM"
"\P RESERVE HANDICAPES 09h30-21h"|"RD-JN"
"\P RESERVE HANDICAPES 07h-18h"|"RD-JO"
"\P RESERVE HANDICAPES 18h-23h MARDI 1MAI AU 1 SEPT."|"RD-SB"
"\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS"|"RD-TT"
"MANOEUVRE INTERDITE AUX CAMIONS      ( * = FLECHE)"|"RE-AE"
"DIRECTIONS DE VOIES (EN RIVE, FOND NOIR)"|"RG-AA"
"VIRAGE A GAUCHE 2 SENS - VOIE DU CENTRE (FOND NOIR)"|"RG-AB"
"DIRECTIONS DES VOIES (FOND NOIR)"|"RG-D"
"DIRECTIONS DES VOIES (FOND NOIR)"|"RG-D-1"
"DIRECTIONS DES VOIES "|"RG-DA"
"DIRECTIONS DES VOIES"|"RG-DB"
"DIRECTIONS DES VOIES"|"RG-DC"
"DIRECTIONS DES VOIES"|"RG-DD"
"DIRECTIONS DES VOIES"|"RG-DE"
"DIRECTIONS DES VOIES"|"RG-DF"
"DIRECTIONS DES VOIES"|"RG-DI"
"DIRECTIONS DES VOIES"|"RG-DK"
"DIRECTIONS DES VOIES"|"RG-DL"
"DIRECTIONS DES VOIES"|"RG-DM"
"DIRECTION DES VOIES  (FOND NOIR)"|"RG-DN"
"direction des voies"|"RG-DP"
"direction des voies"|"RG-DQ"
"DIRECTIONS DES VOIES"|"RG-E"
"DIRECTIONS DES VOIES"|"RG-E-1"
"DIRECTIOND DES VOIES"|"RG-F"
"DIRECTIONS DES VOIES"|"RG-G"
"DIRECTIONS DES VOIES"|"RG-J"
"DIRECTIONS DES VOIES"|"RG-L"
"DIRECTIONS DES VOIES"|"RG-LG"
"DIRECTIONS DES VOIES"|"RG-M"
"DIRECTIONS ET DEVIATIONS DES VOIES"|"RG-N"
"DEVIATION DES VOIES"|"RG-O"
"DIRECTIONS DES VOIES"|"RG-SI"
"PANONCEAU VOIE DE DROITE"|"RG-T-53"
"PANONCEAU VOIE DE GAUCHE"|"RG-T-54"
"PANONCEAU VOIES DE GAUCHE"|"RG-T-64"
"PANONCEAU VOIES DE DROITE"|"RG-T-65"
"PANONCEAU EXCEPTE AUTOBUS   (FOND NOIR)"|"RG-T-66"
"PANONCEAU EXCEPTE AUTOBUS STM"|"RG-T-67"
"DIRECTIONS DES VOIES"|"RG-V"
"DIRECTIONS DES VOIES"|"RG-W"
"DIRECTIONS DES VOIES"|"RG-W-1"
"DIRECTIONS DES VOIES"|"RG-X"
"DIRECTIONS DES VOIES"|"RG-Y"
"DIRECTIONS DES VOIES"|"RG-Z"
"OBLIG. A GAUCHE"|"RH-A"
"OBLIG. A GAUCHE"|"RH-A-10"
"OBLIG. A DROITE"|"RH-B"
"OBLIG. A DROITE"|"RH-B-10"
"OBLIG. TOUT DROIT"|"RH-D"
"OBLIG. TOUT DROIT"|"RH-D-10"
"OBLIG. TOUT DROIT OU A DROITE"|"RH-E"
"OBLIG. TOUT DROIT OU A DROITE"|"RH-E-10"
"OBLIG. TOUT DROIT OU A GAUCHE"|"RH-F"
"OBLIG. TOUT DROIT OU A GAUCHE"|"RH-F-10"
"OBLIG. A DROITE OU A GAUCHE"|"RH-G"
"OBLIG. A DROITE OU A GAUCHE"|"RH-G-10"
"INTERDICTION VIRAGE EN U"|"RH-H"
"INTERDICTION VIRAGE EN U (750 x 750)"|"RH-H-10"
"OBLIG. MATIERES DANGEREUSES"|"RH-M"
"07h-09h LUN. AU VEN."|"RH-T-01-A"
"16h-18h LUN. AU VEN."|"RH-T-01-B"
"08h-18h LUN. AU VEN."|"RH-T-01-C"
"06h-09h LUN. AU VEN."|"RH-T-01-E"
"07h-09h 16h-18h LUN. AU VEN."|"RH-T-02"
"EXEPTE AUTOBUS"|"RH-T-03"
"08h-18h"|"RH-T-04"
"22h-07h"|"RH-T-05"
"07h-22h"|"RH-T-06"
"EXEPTE CAMIONS"|"RH-T-07"
"18h-09h"|"RH-T-09"
"EXEPTE TAXIS"|"RH-T-10"
"PANONCEAU EXCEPTE AUTOBUS STM"|"RH-T-100"
"PANNONCEAU ""XXX"" M - FLECHE 1"|"RH-T-101"
"PRIORITE AUX PIETONS"|"RH-T-115"
"EN AVANT"|"RH-T-12"
"ENTREE INTERDITE"|"RH-T-13"
"ENTREE INTERDITE"|"RH-T-14"
"PRIORITE AUX PIETONS"|"RH-T-15"
"ANNULE - SAUF LES VEHICULES D'URGENCE"|"RH-T-16"
"LUN. AU VEN."|"RH-T-17"
"07h-09h30 LUN. AU VEN."|"RH-T-18"
"EXEPTE VEHICULES AUTORISES"|"RH-T-21"
"18h30-06h30"|"RH-T-22"
"BUS"|"RH-T-23"
"VIRAGE A DROITE (H.I.)"|"RH-T-33-H"
"15h30-17h30 LUN. AU VEN."|"RH-T-34"
"EXCEPTE LIVRAISON LOCALE"|"RH-T-35"
"06h-22h"|"RH-T-36"
"06h-10h 15h-19h LUN. AU VEN."|"RH-T-37"
"EXEPTE STM"|"RH-T-38"
"EXCEPTE LES AUTOBUS ET TAXIS"|"RH-T-39"
"DECHETS INTERDITS AMENDE JUSQU'A 1000$"|"RH-T-40"
"15h-18h LUN. AU VEN."|"RH-T-41"
"19h-07h"|"RH-T-42"
"PANONCEAU 06h00-19h00"|"RH-T-43"
"PANONCEAU 07h00-09h00 ET 15h00-18h00"|"RH-T-44"
"PANONCEAU 06h00-18h00 LUN. AU VEN."|"RH-T-45"
"PANONCEAU 06h30-09h30, 15h30-18h30 LUN. AU VEN."|"RH-T-46"
"PANONCEAU 15h-19h LUNDI AU VENDREDI"|"RH-T-47"
"PANONCEAU 06h30-22h"|"RH-T-48"
"PANONCEAU VOIE RESERVEE SEULEMENT"|"RH-T-49"
"PANONCEAU 18h-06h"|"RH-T-51"
"ANNULE   -   REMPLACE PAR RG-T-53"|"RH-T-53"
"PANONCEAU EXCEPTE RESIDENTS"|"RH-T-55"
"PANONCEAU VOIE DU CENTRE (UTILISER AVEC RO-AB)"|"RH-T-56"
"PANONCEAU 07h-09h ET 15h-19h, LUN. AU VEN."|"RH-T-57"
"EXEPTE VEHICULES DE LA VILLE"|"RH-T-59"
"PANONCEAU EXCEPTE LIVRAISON LOCALE DE 06h A 10h30"|"RH-T-60"
"PANONCEAU EXCEPTE VEHICULES D'URGENCE"|"RH-T-61"
"PANONCEAU 07h-18h30 LUN A VEN"|"RH-T-62"
"PANONCEAU TRANSIT          * = FLECHE"|"RH-T-63"
"PANNONCEAU TRANSIT"|"RH-T-63-*"
"PANONCEAU CAMION (A UTILISER AVEC RM-V OU RM-W)"|"RH-T-66"
"PANNONCEAU TRANSIT - 1 POINT CARDINAL ET FLECHE"|"RH-T-67-*"
"PANNONCEAU TRANSIT - 2 POINTS CARDINAUX ET FLECHES"|"RH-T-68-*"
"PANONCEAU 23h-7h"|"RH-T-70"
"PANONCEAU ""ET SITE MILLEN"" (A UTILISER AVEC RM-AA)"|"RH-T-71"
"PANON. EXCEPTE VEH. MEDIA, CORPS DIPLO. OU AUTRE"|"RH-T-72"
"PANONCEAU 07h-09h ET 14h-18h  LUN A VEN"|"RH-T-73"
"PANONCEAU DE PRESCRIPTION 07h-09h ET 15h-18h"|"RH-T-74"
"PANONCEAU 200 m"|"RH-T-76"
"PANONCEAU EXCEPTE LIVRAISON LOCALE DE 6h A 11h"|"RH-T-77"
"PANONCEAU AMENDE 168$"|"RH-T-78"
"PANONCEAU INT. DE TRAVERSER DE CE COTE"|"RH-T-79"
"PRESCRIPTION-PANONCEAU (EXCEPTE CAMIONS ET VEH D'URGENCE)"|"RH-T-80"
"Collecte des ordures 21h-8h"|"RH-T-82"
"PANONCEAU 07h - 18h LUN A VEN"|"RH-T-83"
"PANONCEAU EXCEPTE USAGERS DE L'ARENA"|"RH-T-84"
"PANONCEAU EXCEPTE VELO"|"RH-T-85"
"PANONCEAU AMENDE 100$"|"RH-T-87"
"PANONCEAU VOIE DE DROITE SEULEMENT"|"RH-T-88"
"PANONCEAU 06h-09h30 LUN A VEN"|"RH-T-89"
"PANONCEAU 06h-09h30  15h-18h30 LUN A VEN"|"RH-T-90"
"PANONCEAU 15h-18h30 LUN A VEN"|"RH-T-91"
"PANONCEAU 14h30-18h30 LUN A VEN"|"RH-T-93"
"PANONCEAU EXCEPTE AUTOBUS"|"RH-T-94"
"PANONCEAU 06h30-09h LUN A VEN"|"RH-T-96"
"PANONCEAU 07h30-08h30 LUN A VEN"|"RH-T-97"
"PANONCEAU CEDEZ AUX CYCLISTE"|"RH-T-98"
"AERIEN A GAUCHE"|"RI-A"
"AERIEN A GAUCHE"|"RI-A-05"
"AERIEN A GAUCHE"|"RI-A-10"
"AERIEN A DROITE"|"RI-B"
"AERIEN A DROITE"|"RI-B-05"
"AERIEN A DROITE"|"RI-B-10"
"AERIEN TOUT DROIT"|"RI-C"
"AERIEN TOUT DROIT"|"RI-C-05"
"AERIEN TOUT DROIT"|"RI-C-10"
"AERIEN TOUT DROIT OU A DROITE"|"RI-D"
"AERIEN TOUT DROIT OU A DROITE"|"RI-D-05"
"AERIEN TOUT DROIT OU A DROITE"|"RI-D-10"
"AERIEN TOUT DROIT OU A GAUCHE"|"RI-E"
"AERIEN TOUT DROIT OU A GAUCHE"|"RI-E-05"
"AERIEN TOUT DROIT OU A GAUCHE"|"RI-E-10"
"AERIEN A GAUCHE OU A DROITE"|"RI-G"
"AERIEN - VIRAGE A GAUCHE DANS LES 2 SENS - VOIE CENTRE"|"RI-I-10"
"AERIEN VOIE FERMEE 600 x 600"|"RI-X-N"
"AERIEN VOIE FERMEE 750 x 750"|"RI-X-N-5"
"TRAJET OBLIGATION POUR CAMIONS"|"RK-A"
"TRAJET OBLIGATION POUR CAMIONS EN TRANSIT"|"RK-AA-*"
"TRAJET OBLIGATION POUR CAMIONS EN TRANSIT (900X1200)"|"RK-AA-10-*"
"CAMIONS PERMIS POUR LIVRAISON LOCALE SEULEMENT"|"RK-AB"
"CAMIONS LIVRAISON LOCALE SEULEMENT 19h-7h "|"RK-AC"
"TRAJET OBLIGATOIRE POUR CAMION EN TRANSIT 19h-7h  (* = FLECHE)"|"RK-AD-*"
"ACHEMINEMENT CAMION EN TRANSIT POUR AUT. 25 N ET 40"|"RK-AE-*"
"ACHEMINEMENT CAMION TRANSIT VERS RUES HOCHELAGA ET SHERBROOKE"|"RK-AF-*"
"ACHEMINEMENT CAMION TRANSIT VERS RUE SHERBROOKE"|"RK-AG-*"
"CAMIONS TRANSIT VERS PRISON BORDEAUX ET HOPITAL NOTRE-DAME DE LA MERCI"|"RK-AH-*"
"ROUTE ALTERNATIVE CAMION TRANSIT VERS 25 SUD"|"RK-AI-*"
"TRANSIT CAMION VERS ST-LEONARD VIA J.-B.- MARTINEAU"|"RK-AK-*"
"/P CAMIONS AUX ENDROITS DEFENDUS PAR LE RRVM, C-4.1, ARTICLES 31 ET 31.1 (Arrondissement Ahuntsic-Cartierville)"|"RK-AL"
"PANONCEAU DE DIRECTION VERT-BLANC - A GAUCHE"|"RK-B"
"PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A GAUCHE"|"RK-B-1"
"PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A GAUCHE"|"RK-B-1-10"
"PANONCEAU DE DIRECTION VERT-BLANC - A GAUCHE (600X300)"|"RK-B-10"
"PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A DROITE"|"RK-B-2"
"PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A DROITE"|"RK-B-2-10"
"PANONCEAU DE DIRECTION VERT ET BLANC - A DROITE (450X300)"|"RK-B-D"
"PANONCEAU DE DIRECTION VERT ET BLANC- A DROITE (600X300)"|"RK-B-D-10"
"PANONCEAU DE DIRECTION VERT ET BLANC- A DROITE (900X450)"|"RK-B-D-20"
"PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A GAUCHE"|"RK-C"
"PANONCEAU DE DIRECTION VERT-BLANC - AVAN. INCL. GAUCHE"|"RK-C-1"
"PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A GAUCHE"|"RK-C-10"
"PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A DROITE"|"RK-D"
"PANONCEAU DE DIRECTION VERT-BLANC - AVAN. INCL. DROITE"|"RK-D-1"
"PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A DROITE"|"RK-D-10"
"PANONCEAU DE DIRECTION VERT-BLANC - GAUCHE ET DROITE"|"RK-E"
"PANONCEAU DE DIRECTION VERT-BLANC - AVAN. GAU.+ DROITE"|"RK-E-1"
"PANONCEAU DE DIRECTION VERT-BLANC - AVAN. GAU.+ DROITE"|"RK-E-1-10"
"PANONCEAU DE DIRECTION VERT-BLANC - TOUT DROIT"|"RK-F"
"PANONCEAU DE DIRECTION VERT-BLANC - TOUT DROIT"|"RK-F-10"
"PANONCEAU DE DIRECTION VERT-BLANC - GAUCHE + TOUT DROIT"|"RK-G"
"PANONCEAU DE DIRECTION VERT-BLANC - DROITE + TOUT DROIT"|"RK-H"
"PANONCEAU DE DIRECTION JAUNE-NOIR"|"RK-I"
"FIN (450X300)"|"RK-L"
"FIN (600X300)"|"RK-L-10"
"PANONCEAU DE DIRECTION VERT-BLANC - GAUCHE ET DROITE (600X300)"|"RK-M"
"PANONCEAU DE DIRECTION VERT-BLANC - FL. MULTI."|"RK-N"
"PANONCEAU DE DIRECTION VERT-BLANC - DEMI-TOUR (600x600)"|"RK-O"
"OBLIGATION AUTOBUS - UTILISER AVEC PANONCEAU FLECHE"|"RK-U"
"OBLIGATION AUTOBUS TOURISTIQUE (UTILISER AVEC PANONCEAU FLECHE)"|"RK-UT"
"PANONCEAU DE DIRECTION BLANC-NOIR"|"RL-A"
"PANONCEAU DE DIRECTION BLANC ET NOIR - A DROITE EN BAS"|"RL-A-10"
"PANONCEAU DE DIRECTION BLANC-NOIR"|"RL-B"
"PANONCEAU DE DIRECTION BLANC ET NOIR - TOUT DROIT"|"RL-B-10"
"PANONCEAU DE DIRECTION BLANC-NOIR"|"RL-C"
"PANONCEAU DE DIRECTION BLANC-NOIR"|"RL-D"
"PANONCEAU DE DIRECTION NOIR ET BLANC - A GAUCHE EN BAS"|"RL-D-10"
"PANONCEAU DE DIRECTION BLANC-NOIR"|"RL-E"
"PANONCEAU DE DIRECTION NOIR ET BLANC - A GAUCHE ET TOUT DROIT"|"RL-E-10"
