"CODE_RPA","DESCRIPTION_RPA"
"R-WY","\P EXCEPTE S3R 18h30-21h"
"R-WZ","INTERDICTION DE STAT. S3R DE 15H - 3H"
"R-XA","INTERDICTION DE STAT. S3R (GR. R) 17H - 3H"
"R-XB","INTERDICTION DE STAT. S3R (GR. R) 18H - 3H"
"R-XD","INTERDICTION DE STAT. S3R (GR. R) 9H - 3H"
"R-XF","STAT. INT. S3R DE 9H - 23H (1 AVRIL AU 30 SEPT)"
"R-XG","\P EXCEPTE S3R 16h-3h ( 1 AVRIL AU 30 SEPT )"
"R-XH","\P EXCEPTE S3R 15h-21h LUN. à VEN. et 9h-21h SAM.DIM."
"R-XI","\P EXCEPTE S3R 16h-3h"
"R-XJ","\P EXCEPTE S3R 09h-17h MAR. MER. VEN."
"R-XK","\P EXCEPTE S3R 09h-17h MAR. MER. JEU."
"R-XN","\P EXCEPTE S3R 09h-17h MAR. MER. JEU.VEN."
"R-XO","\P EXCEPTE S3R 09h-17h LUNDI"
"R-XP","\P EXCEPTE S3R 19h-23h LUN AU VEN ET 09h-23h SAM ET DIM"
"R-XQ","\P EXCEPTE S3R 09h-17h"
"R-XR-2S","\P EXCEPTE S3R 16h-09h (2 SECTEURS)"
"R-XS","\P EXCEPTE S3R 18h-3h LUN A VEN ET 9h-3h SAM ET DIM"
"RA-A","ARRET"
"RA-A-0","ARRET PANNEAU VOIE CYCL."
"RA-A-10","ANNULE"
"RA-A-1O","ARRET (900 x 900)"
"RA-A-3","ARRET"
"RA-A-4","ARRET (GRADE DIAMANT)"
"RA-B","CEDEZ"
"RA-B-0","CEDEZ PANNEAU VOIE CYCL."
"RA-BA","CEDEZ (GIRATOIRE)"
"RA-BC","CEDEZ AUX CYCLISTE"
"RA-C-01","LIGNE D'ARRET"
"RA-C-02","LIGNE D'ARRET"
"RA-C-03","LIGNE D'ARRET"
"RA-C-04","ATENDEZ LE FEU VERT"
"RA-C-08","ATTENDRE LA FLECHE..."
"RA-C-09","ATTENDRE LA FLECHE..."
"RA-C-11","CYCLISTES UTILISEZ LE FEU PIETON"
"RA-C-13","ANNULE (BOUTON D'APPEL) VOIR SERIE PE-AI...A...PE-AQ"
"RA-C-14","ANNULE (VELOS ET PIETONS, APPUYER SUR LE BOUTON) VOIR SERIE PE-AI...A...PE-AQ"
"RA-C-15","LIGNE D'ARRET POUR VOIE FERREE"
"RA-D","TOUTES DIRECTIONS"
"RA-E","ACCES INTERDIT"
"RA-E-3","ACCES INTERDIT"
"RA-F","RECULEZ"
"RA-G","RECULEZ"
"RA-HA","FEU PRIORITAIRE POUR BUS ET TAXIS"
"RA-HD-C","CONFUGURATION DE L'INTERSECTION (A UTILISER SOUS RA-A DANS CAS PARTICULIERS SEULEMENT)"
"RA-HD-C-10","CONFIGURATION DE L'INTERSECTION (A INSTALLER SOUS RA-A-3 DANS CAS PARTICULIERS SEULEMENT)"
"RA-HV","CONFIGURATION DE L'INTERSECTION (A UTILISER SOUS RA-A  DANS CAS PARTICULIERS SEULEMENT)"
"RA-HV-10","CONFIGURATION DE L'INTERSECTION (A UTILISER SOUS RA-A-10 DANS CAS PARTICULIERS SEULEMENT)"
"RA-I","VOIE DE GAUCHE FERMEE EXCEPTE 15h30-18h30 LUN A VEN"
"RA-K","PANONCEAU ARRETS TOUTES LES APPROCHES"
"RA-KA","PANONCEAU ARRETS TOUTES LES APPROCHES"
"RA-KB","ARRETS TOUTES LES APPROCHES"
"RA-KC","ARRETS TOUTES LES APPROCHES"
"RA-KD","ARRETS TOUTES LES APPROCHES"
"RA-KE","ARRETS TOUTES LES APPROCHES"
"RA-KF","ARRETS TOUTES LES APPROCHES"
"RA-KG","ARRETS TOUTES LES APPROCHES"
"RA-KH","ARRETS TOUTES LES APPROCHES"
"RA-KI","ARRETS TOUTES LES APPROCHES"
"RA-KJ","ARRETS TOUTES LES APPROCHES"
"RA-KK","ARRETS TOUTES LES APPROCHES"
"RA-KL","ARRETS TOUTES LES APPROCHES"
"RA-KM","ARRETS TOUTES LES APPROCHES"
"RA-KN","ARRETS TOUTES LES APPROCHES"
"RA-KO","ARRETS TOUTES LES APPROCHES"
"RA-Z","OBLIGATION DE MONTER DANS LE PREMIER TAXI"
"RB-QA","\P EXCEPTE 09h-16h MER. VEN."
"RC-A","MAXIMUM 30"
"RC-A-01","PANNEAU ANNULE"
"RC-A-E","MAXIMUM 30 07h-17h LUN A VEN SEPT A JUIN"
"RC-A-P","PRE-SIGNA MAX. 30"
"RC-A-S","MAXIMUM 30 SECTEUR"
"RC-B","MAXIMUM 50"
"RC-B-01","PANNEAU ANNULE"
"RC-B-10","MAXIMUM 50"
"RC-B-P","PRE-SIGNAL MAX. 50"
"RC-C","MAXIMUM 70"
"RC-E","MAXIMUM 60"
"RC-F","MAXIMUM 20"
"RC-F-0","MAXIMUM 20"
"RC-G","MAXIMUM 40"
"RC-G-S","MAXIMUM 40 SECTEUR"
"RC-R-2","PANNEAU ANNULE"
"RC-T-1","RADAR"
"RC-T-2","RADAR"
"RD-A","INDICATION ""INTERSECTION AVEC CHAUSSEE SEPAREE"""
"RD-C","""ARRET INTERDIT DANS CETTE ZONE"" + SYMBOLE MARQUAGE"
"RD-D","VOIE VIRAGE A GAUCHE ET CONTOURNEMENT PAR LA DROITE"
"RD-E","EPANDAGE DE SEL INTERDIT"
"RD-F","CIRCULATION INTERDITE SUR ACCOTEMENT"
"RD-JA","\P RESERVE HANDICAPES DE 08h00 A 18h00, LUNDI AU SAMEDI"
"RD-JB","\P RESERVE HANDICAPES DE 09h00 A 21h00, LUNDI AU SAMEDI"
"RD-JC","\P RESERVE HANDICAPES DE 08h00 A 18h00"
"RD-JD","\P RESERVE HANDICAPES DE 09h00 A 21h00"
"RD-JF","\P  RESERVE HANDICAPE DE 09h-17h MERCREDI ET SAMEDI"
"RD-JG","\P RESERVE HANDICAPE 16h-24h LUN A VEN"
"RD-JH","STAT.HANDICAPEES 7H-23H LUN A VEN"
"RD-JI","STAT.HANDICAPEES 7H - 20H"
"RD-JJ","\P RESERVE HANDICAPES DE 10h00 A 16h00, LUN. SAM."
"RD-JK","\P RESERVE HANDICAPES 12h - 19h"
"RD-JL","\P RESERVE HANDICAPES  8h - 16h LUN A VEN"
"RD-JM","\P RESERVE HANDICAPES  9h30 - 16h"
"RD-JN","\P RESERVE HANDICAPES 09h30-21h"
"RD-JO","\P RESERVE HANDICAPES 07h-18h"
"RD-SB","\P RESERVE HANDICAPES 18h-23h MARDI 1MAI AU 1 SEPT."
"RD-TT","\P RESERVE DEBARCADERE HANDICAPES EN TOUT TEMPS"
"RE-AE","MANOEUVRE INTERDITE AUX CAMIONS      ( * = FLECHE)"
"RG-AA","DIRECTIONS DE VOIES (EN RIVE, FOND NOIR)"
"RG-AB","VIRAGE A GAUCHE 2 SENS - VOIE DU CENTRE (FOND NOIR)"
"RG-D","DIRECTIONS DES VOIES (FOND NOIR)"
"RG-D-1","DIRECTIONS DES VOIES (FOND NOIR)"
"RG-DA","DIRECTIONS DES VOIES "
"RG-DB","DIRECTIONS DES VOIES"
"RG-DC","DIRECTIONS DES VOIES"
"RG-DD","DIRECTIONS DES VOIES"
"RG-DE","DIRECTIONS DES VOIES"
"RG-DF","DIRECTIONS DES VOIES"
"RG-DI","DIRECTIONS DES VOIES"
"RG-DK","DIRECTIONS DES VOIES"
"RG-DL","DIRECTIONS DES VOIES"
"RG-DM","DIRECTIONS DES VOIES"
"RG-DN","DIRECTION DES VOIES  (FOND NOIR)"
"RG-DP","direction des voies"
"RG-DQ","direction des voies"
"RG-E","DIRECTIONS DES VOIES"
"RG-E-1","DIRECTIONS DES VOIES"
"RG-F","DIRECTIOND DES VOIES"
"RG-G","DIRECTIONS DES VOIES"
"RG-J","DIRECTIONS DES VOIES"
"RG-L","DIRECTIONS DES VOIES"
"RG-LG","DIRECTIONS DES VOIES"
"RG-M","DIRECTIONS DES VOIES"
"RG-N","DIRECTIONS ET DEVIATIONS DES VOIES"
"RG-O","DEVIATION DES VOIES"
"RG-SI","DIRECTIONS DES VOIES"
"RG-T-53","PANONCEAU VOIE DE DROITE"
"RG-T-54","PANONCEAU VOIE DE GAUCHE"
"RG-T-64","PANONCEAU VOIES DE GAUCHE"
"RG-T-65","PANONCEAU VOIES DE DROITE"
"RG-T-66","PANONCEAU EXCEPTE AUTOBUS   (FOND NOIR)"
"RG-T-67","PANONCEAU EXCEPTE AUTOBUS STM"
"RG-V","DIRECTIONS DES VOIES"
"RG-W","DIRECTIONS DES VOIES"
"RG-W-1","DIRECTIONS DES VOIES"
"RG-X","DIRECTIONS DES VOIES"
"RG-Y","DIRECTIONS DES VOIES"
"RG-Z","DIRECTIONS DES VOIES"
"RH-A","OBLIG. A GAUCHE"
"RH-A-10","OBLIG. A GAUCHE"
"RH-B","OBLIG. A DROITE"
"RH-B-10","OBLIG. A DROITE"
"RH-D","OBLIG. TOUT DROIT"
"RH-D-10","OBLIG. TOUT DROIT"
"RH-E","OBLIG. TOUT DROIT OU A DROITE"
"RH-E-10","OBLIG. TOUT DROIT OU A DROITE"
"RH-F","OBLIG. TOUT DROIT OU A GAUCHE"
"RH-F-10","OBLIG. TOUT DROIT OU A GAUCHE"
"RH-G","OBLIG. A DROITE OU A GAUCHE"
"RH-G-10","OBLIG. A DROITE OU A GAUCHE"
"RH-H","INTERDICTION VIRAGE EN U"
"RH-H-10","INTERDICTION VIRAGE EN U (750 x 750)"
"RH-M","OBLIG. MATIERES DANGEREUSES"
"RH-T-01-A","07h-09h LUN. AU VEN."
"RH-T-01-B","16h-18h LUN. AU VEN."
"RH-T-01-C","08h-18h LUN. AU VEN."
"RH-T-01-E","06h-09h LUN. AU VEN."
"RH-T-02","07h-09h 16h-18h LUN. AU VEN."
"RH-T-03","EXEPTE AUTOBUS"
"RH-T-04","08h-18h"
"RH-T-05","22h-07h"
"RH-T-06","07h-22h"
"RH-T-07","EXEPTE CAMIONS"
"RH-T-09","18h-09h"
"RH-T-10","EXEPTE TAXIS"
"RH-T-100","PANONCEAU EXCEPTE AUTOBUS STM"
"RH-T-101","PANNONCEAU ""XXX"" M - FLECHE 1"
"RH-T-115","PRIORITE AUX PIETONS"
"RH-T-12","EN AVANT"
"RH-T-13","ENTREE INTERDITE"
"RH-T-14","ENTREE INTERDITE"
"RH-T-15","PRIORITE AUX PIETONS"
"RH-T-16","ANNULE - SAUF LES VEHICULES D'URGENCE"
"RH-T-17","LUN. AU VEN."
"RH-T-18","07h-09h30 LUN. AU VEN."
"RH-T-21","EXEPTE VEHICULES AUTORISES"
"RH-T-22","18h30-06h30"
"RH-T-23","BUS"
"RH-T-33-H","VIRAGE A DROITE (H.I.)"
"RH-T-34","15h30-17h30 LUN. AU VEN."
"RH-T-35","EXCEPTE LIVRAISON LOCALE"
"RH-T-36","06h-22h"
"RH-T-37","06h-10h 15h-19h LUN. AU VEN."
"RH-T-38","EXEPTE STM"
"RH-T-39","EXCEPTE LES AUTOBUS ET TAXIS"
"RH-T-40","DECHETS INTERDITS AMENDE JUSQU'A 1000$"
"RH-T-41","15h-18h LUN. AU VEN."
"RH-T-42","19h-07h"
"RH-T-43","PANONCEAU 06h00-19h00"
"RH-T-44","PANONCEAU 07h00-09h00 ET 15h00-18h00"
"RH-T-45","PANONCEAU 06h00-18h00 LUN. AU VEN."
"RH-T-46","PANONCEAU 06h30-09h30, 15h30-18h30 LUN. AU VEN."
"RH-T-47","PANONCEAU 15h-19h LUNDI AU VENDREDI"
"RH-T-48","PANONCEAU 06h30-22h"
"RH-T-49","PANONCEAU VOIE RESERVEE SEULEMENT"
"RH-T-51","PANONCEAU 18h-06h"
"RH-T-53","ANNULE   -   REMPLACE PAR RG-T-53"
"RH-T-55","PANONCEAU EXCEPTE RESIDENTS"
"RH-T-56","PANONCEAU VOIE DU CENTRE (UTILISER AVEC RO-AB)"
"RH-T-57","PANONCEAU 07h-09h ET 15h-19h, LUN. AU VEN."
"RH-T-59","EXEPTE VEHICULES DE LA VILLE"
"RH-T-60","PANONCEAU EXCEPTE LIVRAISON LOCALE DE 06h A 10h30"
"RH-T-61","PANONCEAU EXCEPTE VEHICULES D'URGENCE"
"RH-T-62","PANONCEAU 07h-18h30 LUN A VEN"
"RH-T-63","PANONCEAU TRANSIT          * = FLECHE"
"RH-T-63-*","PANNONCEAU TRANSIT"
"RH-T-66","PANONCEAU CAMION (A UTILISER AVEC RM-V OU RM-W)"
"RH-T-67-*","PANNONCEAU TRANSIT - 1 POINT CARDINAL ET FLECHE"
"RH-T-68-*","PANNONCEAU TRANSIT - 2 POINTS CARDINAUX ET FLECHES"
"RH-T-70","PANONCEAU 23h-7h"
"RH-T-71","PANONCEAU ""ET SITE MILLEN"" (A UTILISER AVEC RM-AA)"
"RH-T-72","PANON. EXCEPTE VEH. MEDIA, CORPS DIPLO. OU AUTRE"
"RH-T-73","PANONCEAU 07h-09h ET 14h-18h  LUN A VEN"
"RH-T-74","PANONCEAU DE PRESCRIPTION 07h-09h ET 15h-18h"
"RH-T-76","PANONCEAU 200 m"
"RH-T-77","PANONCEAU EXCEPTE LIVRAISON LOCALE DE 6h A 11h"
"RH-T-78","PANONCEAU AMENDE 168$"
"RH-T-79","PANONCEAU INT. DE TRAVERSER DE CE COTE"
"RH-T-80","PRESCRIPTION-PANONCEAU (EXCEPTE CAMIONS ET VEH D'URGENCE)"
"RH-T-82","Collecte des ordures 21h-8h"
"RH-T-83","PANONCEAU 07h - 18h LUN A VEN"
"RH-T-84","PANONCEAU EXCEPTE USAGERS DE L'ARENA"
"RH-T-85","PANONCEAU EXCEPTE VELO"
"RH-T-87","PANONCEAU AMENDE 100$"
"RH-T-88","PANONCEAU VOIE DE DROITE SEULEMENT"
"RH-T-89","PANONCEAU 06h-09h30 LUN A VEN"
"RH-T-90","PANONCEAU 06h-09h30  15h-18h30 LUN A VEN"
"RH-T-91","PANONCEAU 15h-18h30 LUN A VEN"
"RH-T-93","PANONCEAU 14h30-18h30 LUN A VEN"
"RH-T-94","PANONCEAU EXCEPTE AUTOBUS"
"RH-T-96","PANONCEAU 06h30-09h LUN A VEN"
"RH-T-97","PANONCEAU 07h30-08h30 LUN A VEN"
"RH-T-98","PANONCEAU CEDEZ AUX CYCLISTE"
"RI-A","AERIEN A GAUCHE"
"RI-A-05","AERIEN A GAUCHE"
"RI-A-10","AERIEN A GAUCHE"
"RI-B","AERIEN A DROITE"
"RI-B-05","AERIEN A DROITE"
"RI-B-10","AERIEN A DROITE"
"RI-C","AERIEN TOUT DROIT"
"RI-C-05","AERIEN TOUT DROIT"
"RI-C-10","AERIEN TOUT DROIT"
"RI-D","AERIEN TOUT DROIT OU A DROITE"
"RI-D-05","AERIEN TOUT DROIT OU A DROITE"
"RI-D-10","AERIEN TOUT DROIT OU A DROITE"
"RI-E","AERIEN TOUT DROIT OU A GAUCHE"
"RI-E-05","AERIEN TOUT DROIT OU A GAUCHE"
"RI-E-10","AERIEN TOUT DROIT OU A GAUCHE"
"RI-G","AERIEN A GAUCHE OU A DROITE"
"RI-I-10","AERIEN - VIRAGE A GAUCHE DANS LES 2 SENS - VOIE CENTRE"
"RI-X-N","AERIEN VOIE FERMEE 600 x 600"
"RI-X-N-5","AERIEN VOIE FERMEE 750 x 750"
"RK-A","TRAJET OBLIGATION POUR CAMIONS"
"RK-AA-*","TRAJET OBLIGATION POUR CAMIONS EN TRANSIT"
"RK-AA-10-*","TRAJET OBLIGATION POUR CAMIONS EN TRANSIT (900X1200)"
"RK-AB","CAMIONS PERMIS POUR LIVRAISON LOCALE SEULEMENT"
"RK-AC","CAMIONS LIVRAISON LOCALE SEULEMENT 19h-7h "
"RK-AD-*","TRAJET OBLIGATOIRE POUR CAMION EN TRANSIT 19h-7h  (* = FLECHE)"
"RK-AE-*","ACHEMINEMENT CAMION EN TRANSIT POUR AUT. 25 N ET 40"
"RK-AF-*","ACHEMINEMENT CAMION TRANSIT VERS RUES HOCHELAGA ET SHERBROOKE"
"RK-AG-*","ACHEMINEMENT CAMION TRANSIT VERS RUE SHERBROOKE"
"RK-AH-*","CAMIONS TRANSIT VERS PRISON BORDEAUX ET HOPITAL NOTRE-DAME DE LA MERCI"
"RK-AI-*","ROUTE ALTERNATIVE CAMION TRANSIT VERS 25 SUD"
"RK-AK-*","TRANSIT CAMION VERS ST-LEONARD VIA J.-B.- MARTINEAU"
"RK-AL","/P CAMIONS AUX ENDROITS DEFENDUS PAR LE RRVM, C-4.1, ARTICLES 31 ET 31.1 (Arrondissement Ahuntsic-Cartierville)"
"RK-B","PANONCEAU DE DIRECTION VERT-BLANC - A GAUCHE"
"RK-B-1","PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A GAUCHE"
"RK-B-1-10","PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A GAUCHE"
"RK-B-10","PANONCEAU DE DIRECTION VERT-BLANC - A GAUCHE (600X300)"
"RK-B-2","PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A DROITE"
"RK-B-2-10","PANONCEAU DE DIRECTION VERT-BLANC - AVANCE A DROITE"
"RK-B-D","PANONCEAU DE DIRECTION VERT ET BLANC - A DROITE (450X300)"
"RK-B-D-10","PANONCEAU DE DIRECTION VERT ET BLANC- A DROITE (600X300)"
"RK-B-D-20","PANONCEAU DE DIRECTION VERT ET BLANC- A DROITE (900X450)"
"RK-C","PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A GAUCHE"
"RK-C-1","PANONCEAU DE DIRECTION VERT-BLANC - AVAN. INCL. GAUCHE"
"RK-C-10","PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A GAUCHE"
"RK-D","PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A DROITE"
"RK-D-1","PANONCEAU DE DIRECTION VERT-BLANC - AVAN. INCL. DROITE"
"RK-D-10","PANONCEAU DE DIRECTION VERT-BLANC - INCLINE A DROITE"
"RK-E","PANONCEAU DE DIRECTION VERT-BLANC - GAUCHE ET DROITE"
"RK-E-1","PANONCEAU DE DIRECTION VERT-BLANC - AVAN. GAU.+ DROITE"
"RK-E-1-10","PANONCEAU DE DIRECTION VERT-BLANC - AVAN. GAU.+ DROITE"
"RK-F","PANONCEAU DE DIRECTION VERT-BLANC - TOUT DROIT"
"RK-F-10","PANONCEAU DE DIRECTION VERT-BLANC - TOUT DROIT"
"RK-G","PANONCEAU DE DIRECTION VERT-BLANC - GAUCHE + TOUT DROIT"
"RK-H","PANONCEAU DE DIRECTION VERT-BLANC - DROITE + TOUT DROIT"
"RK-I","PANONCEAU DE DIRECTION JAUNE-NOIR"
"RK-L","FIN (450X300)"
"RK-L-10","FIN (600X300)"
"RK-M","PANONCEAU DE DIRECTION VERT-BLANC - GAUCHE ET DROITE (600X300)"
"RK-N","PANONCEAU DE DIRECTION VERT-BLANC - FL. MULTI."
"RK-O","PANONCEAU DE DIRECTION VERT-BLANC - DEMI-TOUR (600x600)"
"RK-U","OBLIGATION AUTOBUS - UTILISER AVEC PANONCEAU FLECHE"
"RK-UT","OBLIGATION AUTOBUS TOURISTIQUE (UTILISER AVEC PANONCEAU FLECHE)"
"RL-A","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-A-10","PANONCEAU DE DIRECTION BLANC ET NOIR - A DROITE EN BAS"
"RL-B","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-B-10","PANONCEAU DE DIRECTION BLANC ET NOIR - TOUT DROIT"
"RL-C","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-D","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-D-10","PANONCEAU DE DIRECTION NOIR ET BLANC - A GAUCHE EN BAS"
"RL-E","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-E-10","PANONCEAU DE DIRECTION NOIR ET BLANC - A GAUCHE ET TOUT DROIT"
"RL-F","PANONCEAU DE DIRECTION BLANC-NOIR (DROITE)"
"RL-F-10","PANONCEAU DE DIRECTION NOIR ET BLANC - A DROITE"
"RL-G","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-G-10","PANONCEAU DE DIRECTION BLANC ET NOIR - A GAUCHE"
"RL-H","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-H-10","PANONCEAU DE DIRECTION BLANC ET NOIR - TOUT DROIT ET A DROITE"
"RL-K","FIN BLANC-NOIR"
"RL-K-10","PANONCEAU BLANC ET NOIR - FIN"
"RL-L","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-M","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-M-10","PANONCEAU DE DIRECTION BLANC ET NOIR - AVANCE A DROITE (A ANGLE)"
"RL-N","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-N-10","PANONMCEAU DE DIRECTION BLANC ET NOIR - AVANCE A GAUCHE"
"RL-O","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-P","PANONCEAU DE DIRECTION BLANC-NOIR"
"RL-P-10","PANONCEAU DE DIRECTION BLANC ET NOIR - AVANCE A DROITE"
"RL-Q","PANONCEAU DE DIRECTION BLANC ET NOIR (DEBUT)"
"RL-Q-10","PANONCEAU BLANC-NOIR (DEBUT)"
"RL-T","PANONCEAU DE DIRECTION BLANC-NOIR"
"RM-A","INTERDICTION AUX CAMIONS"
"RM-A-01","INTERDICTION DOMPER"
"RM-A-10","INTERDICTION AUX CAMIONS"
"RM-AA","INTERDICTION AUX CAMIONS EXCEPTE LIVRAISON LOCALE"
"RM-AA-10","INTERDICTION AUX CAMIONS EXCEPTE LIVRAISON LOCALE"
"RM-AB","INTERDICTION AUX CAMIONS 19h-07h EXCEPTE LIVRAISON LOCALE"
"RM-AB-10","INTERDICTION AUX CAMIONS 19h-7h EXCEPTE LIVRAISON LOCALE"
"RM-AD(xx)","INTERDICTION AUX CAMIONS D'UNE CERTAINE LONGUEUR"
"RM-AE-*","MANOEUVRE INTERDITE AUX CAMIONS (* = FLECHE)"
"RM-AF","INTERDICTION D'UTILISER LE FRIEN MOTEUR"
"RM-AS","LARGEUR MAXIMALE"
"RM-AT","EN SURGAGE"
"RM-B","INTERDICTION AUTO"
"RM-C","INTERDICTION VELOS"
"RM-D","INTERDICTION AUTO BICYCLETTE"
"RM-E","INTERDICTION PIETONS"
"RM-E-10","INTERDICTION PIETONS (750x750)"
"RM-EA","INTERDICTION PIETONS ET CYCLISTES"
"RM-EA-10","INTERDICTION PIETONS ET CYCLISTES"
"RM-F","INTERDICTION ALLER TOUT DROIT"
"RM-F-10","INTERDICTION ALLER TOUT DROIT"
"RM-G","ANNULE -INTERDICTION VIRAGE A GAUCHE -REMPLACE PAR RM-W"
"RM-H","INTERDICTION AUTO CAMION"
"RM-I","INTERDICTION JETER DES DECHETS"
"RM-K","INTERDIT DE JETER DES DECHETS"
"RM-KA","PRESCRIPTION -INTERDICTION DECHET - AMENDE"
"RM-L","INTERDIT AUX AUTOBUS ET AUX CAMIONS"
"RM-M","INTERDICTION MATIERES DANGEREUSES"
"RM-O","INTERDICTION MOTO AUTO BICYCLETTE"
"RM-Q","INTERDICTION MOTO"
"RM-R","INTERDICTION DE COURIR"
"RM-S","INTERDICTION MOTO AUTO"
"RM-T","INTERDICTION MOTO CAMION"
"RM-U","INTERDICTION AUTOBUS"
"RM-UT","ACCES INTERDIT AUX AUTOBUS TOURISTIQUES"
"RM-V","INTERDICTION VIRAGE A DROITE"
"RM-V-10","INTERDICTION VIRAGE A DROITE"
"RM-W","INTERDICTION VIRAGE A GAUCHE"
"RM-W-10","INTERDICTION  VIRAGE A GAUCHE"
"RM-X","INTERDICTION DOUBLER"
"RM-Y","INTERDICTION AUTO CAMION MOTO"
"RM-Z","BUS SEULEMENT - FLECHE A DROITE"
"RM-Z-01","BUS SEULEMENT - FLECHE A GAUCHE"
"RN-A","SENS UNIQUE (2 FACES)"
"RN-A-0","SENS UNIQUE VELO"
"RN-A-01","SENS UNIQUE (1 FACE)"
"RN-A-P-VC","EXCEPTE VELO"
"RN-B","CIRCULATION A DOUBLE SENS - CONTOURNER PAR LE DROITE"
"RN-C","DEBUT DE SENS UNIQUE"
"RN-D","CIRCULATION A DOUBLE SENS"
"RO-A","CONTOURNEZ PAR LA DROITE"
"RO-AB","ANNULE - REMPLACE PAR RG-AB"
"RO-B","CONTOURNER PAR LA GAUCHE"
"RO-D","ANNULE - REMPLACE PAR RG-D"
"RO-D-1","ANNULE - REMPLACE PAR RG-D-1"
"RO-DC","ANNULE - REMPLACE PAR RG-DC"
"RO-DF","ANNULE - REMPLACE PAR RG-DF"
"RO-E","ANNULE - REMPLACE PAR RG-E"
"RO-E-1","ANNULE - REMPLACE PAR RG-E-1"
"RO-I","CONTOURNER PAR LA GAUCHE OU PAR LA DROITE"
"RO-M","ANNULE - REMPLACE PAR RG-M"
"RO-S-1","VIRAGE A DROITE BUS EXCEPTE"
"RO-W","ANNULE - REMPLACE PAR RG-W"
"RP-A","OBLIG. VELO A DROITE"
"RP-AA","PRE-SIGNAL VOIE RESERVEE 06h30-09h30 15h30-18h30 LUN VEN (FOND JAUNE)"
"RP-AB","PRE-SIGNAL VOIE RESERVEE 06h30-09h30 LUN. VEN. (AERIEN) (FOND JAUNE)"
"RP-AC","PRE-SIGNAL VOIE RESERVEE 15h30-18h30 LUN. VEN. (AERIEN) (FOND JAUNE)"
"RP-AD","PRE-SIGNAL VOIE RESERVEE 6h30-9h LUN. AU VEN. (AERIEN) (FOND JAUNE)"
"RP-AE","PRE-SIGNAL VOIE RESERVEE 16h-18h30 LUN.AU VEN. (AERIEN) (FOND JAUNE)"
"RP-AH","PRE-SIGNAL VOIE RESERVEE BUS-TAXI XXX METRES (RIVE)"
"RP-AI","PRE-SIGNAL VOIE RESERVEE BUS-TAXI XXX METRES (AERIEN)"
"RP-AJ","PRE-SIGNAL (750x900) UTILISATION EXCLUSIVE POUR LE DETOURNEMENT DE LA VOIE RESERVEE LORS DE TRAVAUX"
"RP-AK","PRE-SIGNAL (750x900) UTILISATION EXCLUSIVE POUR LE DETOURNEMENT DE LA VOIE RESERVEE LORS DE TRAVAUX"
"RP-B","OBLIG. VELO FL. 4"
"RP-BL","VOIE RESERVEE (CONTRESENS) (FOND JAUNE)"
"RP-D","OBLIG. VELO - FL. 3"
"RP-G","OBLIG. VELO - FL. 3"
"RP-H","OBLIG. VELO - FL. 2"
"RP-V","(VOIR RP-VZ DANS DANGER)"
"RP-VA","PRE-SIGNAL VOIE RESERVEE 06h-09h LUN. AU VEN. (AERIEN)"
"RP-VB","PRE-SIGNAL VOIE RESERVEE 15h30-18h LUN. AU VEN. (AERIE"
"RP-VC","PRE-SIGNAL VOIE RESERVEE 06h-09h 15h30-18h LUN. AU VEN"
"RQ-A","ANNULE, REMPLACE PAR VC-RC"
"RQ-A-1","ANNULE, REMPLACE PAR VC-RC-1"
"RQ-H","1 MAI AU 1 NOV. VOIE CYCL."
"RR-BA","VOIE RESERVEE (RIVE)"
"RR-BB","VOIE RESERVEE (RIVE)"
"RR-BD","VOIE RESERVEE (RIVE)"
"RR-BG","VOIE RESERVEE CONTRESENS ""FIN"" (MAIL CENTRAL)"
"RR-BK","VOIE RESERVEE (CONTRESENS) (FOND BLANC)"
"RR-BL","VOIE RESERVEE (CONTRESENS) (FOND BLANC)"
"RR-BP","VOIE RESERVEE 06h-09h LUN. AU VEN. (AERIEN)"
"RR-BQ","VOIE RESERVEE 15h30-18h LUN. AU VEN. (AERIEN)"
"RR-BR","VOIE RESERVEE 06h-09h 15h30-18h LUN. AU VEN. (AERIEN)"
"RR-BS","VOIE RESERVEE - FIN"
"RR-BZ","VOIE RESERVEE (RIVE)"
"RR-VZ","VOIE RESERVEE (BUS ET TAXI) 06h-09h, 15h30-18h LUN. VEN"
